index,innumcluster,overlaps,stretches,position,friction,middleCharge,otherCharge,otherparam,AnzahlLinks
1433,0,0.0,0.0,0.0,0.35,-6,-18,15,644
1440,0,0.0,0.0,0.0,0.35,-6,-14,14,644
1441,0,0.0,0.0,0.0,0.35,-6,-14,15,644
1448,0,0.0,0.0,0.0,0.35,-6,-10,14,644
1449,0,0.0,0.0,0.0,0.35,-6,-10,15,644
1456,0,0.0,0.0,0.0,0.35,-6,-6,14,644
1457,0,0.0,0.0,0.0,0.35,-6,-6,15,644
1464,0,0.0,0.0,0.0,0.35,-6,-2,14,644
1465,0,0.0,0.0,0.0,0.35,-6,-2,15,644
1472,0,0.0,0.0,0.0,0.35,-2,-30,14,644
1473,0,0.0,0.0,0.0,0.35,-2,-30,15,644
1480,0,0.0,0.0,0.0,0.35,-2,-26,14,644
1481,0,0.0,0.0,0.0,0.35,-2,-26,15,644
1488,0,0.0,0.0,0.0,0.35,-2,-22,14,644
1489,0,0.0,0.0,0.0,0.35,-2,-22,15,644
1496,0,0.0,0.0,0.0,0.35,-2,-18,14,644
1497,0,0.0,0.0,0.0,0.35,-2,-18,15,644
1504,0,0.0,0.0,0.0,0.35,-2,-14,14,644
1505,0,0.0,0.0,0.0,0.35,-2,-14,15,644
1512,0,0.0,0.0,0.0,0.35,-2,-10,14,644
1513,0,0.0,0.0,0.0,0.35,-2,-10,15,644
1520,0,0.0,0.0,0.0,0.35,-2,-6,14,644
1521,0,0.0,0.0,0.0,0.35,-2,-6,15,644
1528,0,0.0,0.0,0.0,0.35,-2,-2,14,644
1529,0,0.0,0.0,0.0,0.35,-2,-2,15,644
1536,0,0.0,0.0,0.0,0.475,-30,-30,14,644
1537,0,0.0,0.0,0.0,0.475,-30,-30,15,644
1538,0,0.0,0.0,0.0,0.475,-30,-30,16,644
1544,0,0.0,0.0,0.0,0.475,-30,-26,14,644
1545,0,0.0,0.0,0.0,0.475,-30,-26,15,644
1546,0,0.0,0.0,0.0,0.475,-30,-26,16,644
1552,0,0.0,0.0,0.0,0.475,-30,-22,14,644
1553,0,0.0,0.0,0.0,0.475,-30,-22,15,644
1554,0,0.0,0.0,0.0,0.475,-30,-22,16,644
1560,0,0.0,0.0,0.0,0.475,-30,-18,14,644
1561,0,0.0,0.0,0.0,0.475,-30,-18,15,644
1562,0,0.0,0.0,0.0,0.475,-30,-18,16,644
1568,0,0.0,0.0,0.0,0.475,-30,-14,14,644
1569,0,0.0,0.0,0.0,0.475,-30,-14,15,644
1576,0,0.0,0.0,0.0,0.475,-30,-10,14,644
1577,0,0.0,0.0,0.0,0.475,-30,-10,15,644
1584,0,0.0,0.0,0.0,0.475,-30,-6,14,644
1585,0,0.0,0.0,0.0,0.475,-30,-6,15,644
1592,0,0.0,0.0,0.0,0.475,-30,-2,14,644
1593,0,0.0,0.0,0.0,0.475,-30,-2,15,644
1600,0,0.0,0.0,0.0,0.475,-26,-30,14,644
1601,0,0.0,0.0,0.0,0.475,-26,-30,15,644
1602,0,0.0,0.0,0.0,0.475,-26,-30,16,644
1608,0,0.0,0.0,0.0,0.475,-26,-26,14,644
1609,0,0.0,0.0,0.0,0.475,-26,-26,15,644
1610,0,0.0,0.0,0.0,0.475,-26,-26,16,644
1616,0,0.0,0.0,0.0,0.475,-26,-22,14,644
1617,0,0.0,0.0,0.0,0.475,-26,-22,15,644
1618,0,0.0,0.0,0.0,0.475,-26,-22,16,644
1624,0,0.0,0.0,0.0,0.475,-26,-18,14,644
1625,0,0.0,0.0,0.0,0.475,-26,-18,15,644
1626,0,0.0,0.0,0.0,0.475,-26,-18,16,644
1632,0,0.0,0.0,0.0,0.475,-26,-14,14,644
1633,0,0.0,0.0,0.0,0.475,-26,-14,15,644
1640,0,0.0,0.0,0.0,0.475,-26,-10,14,644
1641,0,0.0,0.0,0.0,0.475,-26,-10,15,644
1648,0,0.0,0.0,0.0,0.475,-26,-6,14,644
1649,0,0.0,0.0,0.0,0.475,-26,-6,15,644
1656,0,0.0,0.0,0.0,0.475,-26,-2,14,644
1657,0,0.0,0.0,0.0,0.475,-26,-2,15,644
1664,0,0.0,0.0,0.0,0.475,-22,-30,14,644
1665,0,0.0,0.0,0.0,0.475,-22,-30,15,644
1666,0,0.0,0.0,0.0,0.475,-22,-30,16,644
1672,0,0.0,0.0,0.0,0.475,-22,-26,14,644
1673,0,0.0,0.0,0.0,0.475,-22,-26,15,644
1674,0,0.0,0.0,0.0,0.475,-22,-26,16,644
1680,0,0.0,0.0,0.0,0.475,-22,-22,14,644
1681,0,0.0,0.0,0.0,0.475,-22,-22,15,644
1682,0,0.0,0.0,0.0,0.475,-22,-22,16,644
1688,0,0.0,0.0,0.0,0.475,-22,-18,14,644
1689,0,0.0,0.0,0.0,0.475,-22,-18,15,644
1696,0,0.0,0.0,0.0,0.475,-22,-14,14,644
1697,0,0.0,0.0,0.0,0.475,-22,-14,15,644
1704,0,0.0,0.0,0.0,0.475,-22,-10,14,644
1705,0,0.0,0.0,0.0,0.475,-22,-10,15,644
1712,0,0.0,0.0,0.0,0.475,-22,-6,14,644
1713,0,0.0,0.0,0.0,0.475,-22,-6,15,644
1720,0,0.0,0.0,0.0,0.475,-22,-2,14,644
1721,0,0.0,0.0,0.0,0.475,-22,-2,15,644
1728,0,0.0,0.0,0.0,0.475,-18,-30,14,644
1729,0,0.0,0.0,0.0,0.475,-18,-30,15,644
